"","X","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","detailedListings.i.","mode"
"1",1,65918280,"Othón de Mendizábal undefined,  La Patera Vallejo, Gustavo A. Madero","Departamento",1800000,"MN",67,67,3,1,19.5042496134,-99.1518892095,"La Patera Vallejo","Gustavo A. Madero","Ciudad de México","Departamento de 3 habitacionesCon 67 metros de construcciónSala-comedorÁrea de la cocina Área de lavado1 baño3er piso2 habitaciones con clósetPrecio a tratarEspacio para 1 auto","https://www.inmuebles24.com/propiedades/venta-departamento-en-la-patera-vallejo-gustavo-a-65918280.html","Venta"
"2",2,63196419,",  Constitución de La República, Gustavo A. Madero","Departamento",1890000,"MN",68,68,2,1,19.4837196,-99.0999669,"Constitución de La República","Gustavo A. Madero","Ciudad de México","DEPARTAMENTO NUEVODepartamento interior con magnífica iluminación y ventilación natural.Vista despejada hacia el Bosque de Aragón por las recámaras y a un corredor arbolado.Muy cerca de la Basílica de GuadalupeEstilo clásico, pisos de melamina, ventanas de aluminio con persianas verticales, closets de madera,cocina integral, área de lavado.Gas estacionario, cisterna y tinacos alimentados con sistema hidroneumático.CUENTA CON: 2 recámaras con closet, 1 baño y  medio, sala comedor y cocina integral con área de lavado1 cajón de estacionamiento independiente con puerta de acceso automatizado68.13 M2 habitableCERCANO A :Plazas comerciales, cines, cocinas y restaurantes, bancos, hospitalesVías de comunicación cercanas, Av. Ing. Eduardo Molina, Calzada San Juan de Aragón, circuitoInterior e insurgentes Nte2 prototipos . 3 DEPARTAMENTOS DISPONIBLES:$1,868,000.00$1,890,000.00$1,996,000.00 con 2 lugares de estacionamiento.El precio que se muestra en el anuncio es más impuestos y/o más costo de escrituración y demás gastos que se puedan generar respecto de hipotecas bancarias. Solicita mayor información. EasyBroker ID: EB-JG5659","https://www.inmuebles24.com/propiedades/departamento-en-venta-f.-c.-hidalgo-63196419.html","Venta"
"3",3,65918267,"Misterios undefined,  Vallejo, Gustavo A. Madero","Edificio",12000000,"MN",294,956,NA,NA,19.4645529681,-99.12644339,"Vallejo","Gustavo A. Madero","Ciudad de México","Edificio en venta en Calzada de los Misterios5 Departamentos en buenas condiciones, de aproximadamente 70 m213 lugares de estacionamiento.Cuenta con Uso de Suelo Comercial y HabitacionalUna excelente ubicación ya que se encuentra sobra Calzada de los Misterios, casi esquina con Circuito Interior.Generales:Tipo Edificio Habitacional y ComercialOperación: VentaEdad: 40 añosDatos Técnicos:8 Baños294 m2 Área Terreno.956 m2 Construcción.","https://www.inmuebles24.com/propiedades/venta-edificio-5-deptos-ofnas-en-misterios-junto-a-65918267.html","Venta"
"4",4,65145853,"JULIETA 56,  Guadalupe Tepeyac, Gustavo A. Madero","Edificio",10000000,"MN",221,669,NA,NA,19.4654007,-99.123112,"Guadalupe Tepeyac","Gustavo A. Madero","Ciudad de México","(ROJ) VENTA DE EDIFICIO COMPLETAMENTE PARA REMODELAR CON 9 DEPARTAMENTOS DE 2 HABITACIONES Y BAÑO COMPLETO. CON CUARTO DE SERVICIO Y ÁREA DE LAVADO EN LA AZOTEA. EL EDIFICIO TIENE DOS FRENTES IDEAL PARA INVERSIONISTAS","https://www.inmuebles24.com/propiedades/edificio-en-venta-en-guadalupe-tepeyac-para-remodelar-65145853.html","Venta"
"5",5,65799005,"Venta Casa EN Condominio “torres Lindavista”,  Torres Lindavista, Gustavo A. Madero","Casa en condominio",22300000,"MN",497,541,4,4,19.508165,-99.1474302,"Torres Lindavista","Gustavo A. Madero","Ciudad de México","¡¡RESIDENCIAL TORRES LINDAVISTA, CON VIGILANCIA 24 HORAS!!-50- Iluminada, buena distribución. Remodelada hace 6 años.A unos metros de Av. Instituto Politécnico Nacional y Av. de los 100 metros. Espacios:PB: • Vestíbulo• Escaleras de acceso a planta alta• Bar con cava• 2 baños de visitas• Estancia- comedor• Cocina con alacena y despensa• Desayunador• Escaleras de acceso planta azotea• Jardín trasero como se aprecia en las fotografíasEstacionamiento cubierto para 3 autos y descubierto para 3 autosPA:• 4 recámaras con baño completo, la principal con terraza y vestidor• Estudio con baño completo y biblioteca • Vestíbulo• Escaleras de acceso a planta baja Planta Azotea:• 2 habitación de servicio con baño compartido • Cuarto de lavado y planchadoMetraje Habitable 541.75 m², Terreno 497.17 m²Sistema hidroneumático, tanque estacionario de gas de 1,000 lts, cisterna de 50,000 lts, cisterna con captación pluvial de 10,000 lts, circuito cerrado de TV, 10 paneles solares, voyler de paso con capacidad de calentar agua para 4 ó 5 personas.Instalaciones hidráulicas ocultas con tubería y accesorios de cobre, instalaciones sanitarias ocultas con tubería de PVCInstalación eléctrica con cableado THW, sobre poliducto flexible con salida a contactos y apagadores.Acabados:Paredes planas con pintura vinílica, cocina integral con cubierta de mármol y tarja de acero inoxidable, pisos con placa de mármol, loseta tipo madera, escaleras de caoba, puertas y clóset de caoba, baños con placas de mármol y canceles de vidrio templado, muebles de baño blancos porcelanizados con ovalín sobre placa de mármol y mueble bajo, fachada de cantera, ventanería con cristales claros.Amenidades:En el Fraccionamiento hay Jardín con juegos infantiles, además de contar con el beneficio de poder rentar acción en el Club Futurama con descuento del 50%Mantenimiento $1,500.00 pesos mensuales¡¡CONÓCELA Y VÍVELA!!(AMG)CANH1651Código GIZP: CHV2751GCódigo EasyBroker: EB-JO5546Exención de Responsabilidad: La publicación de la presente información NO representa una oferta pública por lo que toda transacción debe de hacerse de forma personal de acuerdo a las prácticas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa del propietario del inmueble. El precio puede variar sin previo aviso y no incluye gastos, gestoría, avalúo e impuestos por Escrituración ante Notario, tampoco incluye el mobiliario que aparece en las imágenes de esta publicación.Al momento de la publicación, la documentación e información del inmueble ha sido proporcionada a Next Home por el propietario, y aunque dicha información está en regla, libre de gravamen, con un trámite sucesorio notarial pendiente, que simultaneo a la venta será realizado, y no impide llevar a cabo la operación de compra-venta, sin embargo dicha información podría variar por decisión o error del propietario.Aviso de Privacidad, así como quejas sugerencias y más:Next Home, con domicilio en Av. Noche de Paz No. 49, Local 6 “A”, Colonia Granjas Navidad, Alcaldía Cuajimalpa, Ciudad de México Ver datos, México, es Responsable del tratamiento y uso de sus datos personales. Sus datos personales serán utilizados para las siguientes finalidades: Proveer los servicios solicitados y/o contratados. Responder a sus requerimientos de información, atención y servicio. Evaluar la calidad del servicio que le brindamos. Archivo de registros y expediente de la relación contractual para seguimiento de servicios futuros. Gestión Financiera, facturación y cobro. Dar cumplimiento a las obligaciones y compromisos que hemos contraído con Usted. Usted puede conocer nuestro Aviso de Privacidad integral en:.mx/s/Aviso-de-PrivacidadQuejas y sugerencias: Ver datos y/o Tel Ver datos        ","https://www.inmuebles24.com/propiedades/venta-casa-en-condominio-torres-lindavista-65799005.html","Venta"
"6",6,65918168,"Juventino Rosas,  7 de Noviembre, Gustavo A. Madero","Bodega comercial",31000000,"MN",1069,1408,NA,NA,19.4589994,-99.1336561,"7 de Noviembre","Gustavo A. Madero","Ciudad de México","USO ACTUAL: Nave Industrial con oficinas y terreno que ocupa, con la siguiente distribución: - Acceso patio de maniobras con anden tipo 1- Nave con 12 metros de Arco autosustentable- Muros de Block y área de fabricaciónEn Tipo 2:- Oficinas en tres niveles 1er. Nivel: planta baja para almacén, 2o. y 3er. Nivel: Oficinas con 3 privados y área secretarial con subdivisiones de cristal templado y aluminio. Área de baños con sala de CCTV y cubo de escalera.- Al frente del predio en tipo 3 y 4 en dos cuerpos y dos niveles con recepción.- Casa vigilante- Almacén- Área para comedor y baños en tipo techumbre de lámina para taller y/o estacionamiento.USO DE SUELO: H / 3 / 30","https://www.inmuebles24.com/propiedades/nave-industrial-en-peralvillo-gustavo-a.-madero-cdmx-65918168.html","Venta"
"7",7,65918228,"Calzada de Guadalupe undefined,  7 de Noviembre, Gustavo A. Madero","Terreno / Lote",140000000,"MN",5516,NA,NA,NA,19.4635247,-99.1255953,"7 de Noviembre","Gustavo A. Madero","Ciudad de México","Excelente terreno para desarrolladores, gran polígono de tres lotes de 2,904, 1,974 y 638 m2, contiguos, en total 5,516 m2 , tiene autorizado construcción de 110 viviendas, también uso mixto, comercial e industrial, el frente a calzada de Guadalupe es de 50 m.Los 3 terrenos están en una sola escritura sin fusionar, todo en regla","https://www.inmuebles24.com/propiedades/terreno-para-desarrolladores-en-calzada-de-guadalupe-65918228.html","Venta"
"8",8,65918167,"Rompeolas undefined,  Residencial Acueducto de Guadalupe, Gustavo A. Madero","Edificio",25000000,"MN",480,1252,NA,NA,19.5270133963,-99.1574204398,"Residencial Acueducto de Guadalupe","Gustavo A. Madero","Ciudad de México","Edificio con oficinas en calle amplia y de fácil acceso que cuenta con 480 mts2 de terreno y 1252 de construcción.Planta Baja y dos niveles.Ideal como centro de distribución o paquetería, cuenta con banda transportadora para 3 niveles y mucho espacio de almacenamiento.Cuenta:Caseta de vigilancia con bañoPlanta de emergencia de luz de DieselCalles pavimentadas, banquetas de concreto hidráulico y guarnición de concreto, red deagua potable con tomas domiciliarias conectada a la red municipal, red de drenaje deconcreto, red de electrificación, sobre postes de concreto, luminarias incandescentes dealumbrado público, red telefónica sobre postes de madera.","https://www.inmuebles24.com/propiedades/edificio-en-residencial-acueducto-de-guadalupe-65918167.html","Venta"
"9",9,65918281,"Norte 100 undefined,  El Milagro, Gustavo A. Madero","Departamento",1120000,"MN",79,79,2,1,19.4853485,-99.085781,"El Milagro","Gustavo A. Madero","Ciudad de México","Departamento remodelado- 79 m2- 2 recámaras- Sala / Comedor- 1 baño completo- Área de lavado- 1 lugar de estacionamiento- Parques cercanos:Deportivo Parque Bicentenario, Parque los Patos, Parque Recreativo Justicia Social, Deportivo Hermanos Galeana, Zoologico San Juan de Aragón, Parque Nacional El Tepeyac- Supermercados cercanos:Mercado San Felipe de Jesús, Chedraui, Coppel, Elektra, Walmart- Transporte público:RTP, Metrobus, Camión, BusEscuelas primerias, secundarias, Centro Comercial Puerta Aragón, La Plaza Oriente-Piso 4- Áreas verdes","https://www.inmuebles24.com/propiedades/departamento-en-el-milagro-gustavo-a-madero-cdmx-65918281.html","Venta"
"10",10,65918269,"100B undefined,  San José de La Escalera, Gustavo A. Madero","Edificio",6000000,"MN",210,449,NA,NA,19.5249271,-99.1612225,"San José de La Escalera","Gustavo A. Madero","Ciudad de México","Edificio productivo que actualmente consta de 4 departamentos independientes que generan una utilidad de $40,000 pesos al mes, No cuenta con regimen de condominio por lo cual se vende toda la propiedad. Cuenta con 4 Departamentos independientes con cocina cada uno11 recamaras en total6 baños en total5 espacio para autosTodo en orden para vender la propiedad completa.","https://www.inmuebles24.com/propiedades/excelente-edificio-productivo-generando-$40-000-al-mes-65918269.html","Venta"
