"","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","lien","mode"
"1","CE0GT4V000WT","Privada Valdastillas en Villas del Real","Casa en Venta",5e+05,"$",114,96,2,1.5,0,0,"Sierra Hermosa","Tecamac","Estado De México","CE0GT4V000WT",NA,"Venta"
"2","CE0GT4V002MW","Priv. Florencia Villas del Real","Casa en Venta",550000,"$",115.2,40.5,3,2,0,0,"Sierra Hermosa","Tecamac","Estado De México","CE0GT4V002MW",NA,"Venta"
"3","CE0GT4V002MF","Privada Osorno Nú.27 5a Secc. Villas del Real","Casa en Venta",385000,"$",78,29,2,1,0,0,"Sierra Hermosa","Tecamac","Estado De México","CE0GT4V002MF",NA,"Venta"
"4","CE0GT4V002AL","2da Privada Nicolas Bravo","Casa en Venta",725000,"$",141,161,4,2,0,0,"Santa María Chiconautla","Ecatepec de Morelos","Estado De México","CE0GT4V002AL",NA,"Venta"
"5","CE0HN4V002J1","Circuito Cuiculco Mza 161 Lte 4-A","Casa en Venta",680000,"$",131,60,3,1,0,0,"La Florida De Ciudad Azteca","Ecatepec de Morelos","Estado De México","CE0HN4V002J1",NA,"Venta"
"6","CE0GT4V002KW","Priv. Nomancia en Villas del Real","Casa en Venta",4e+05,"$",77,55,2,1,0,0,"Sierra Hermosa","Tecamac","Estado De México","CE0GT4V002KW",NA,"Venta"
"7","CE0GT4V002KX","Priv. Nomancia en Villas del Real","Casa en Venta",4e+05,"$",77,55,2,1,0,0,"Sierra Hermosa","Tecamac","Estado De México","CE0GT4V002KX",NA,"Venta"
"8","CE0GT4V002P8","Chalco","Casa en Venta",662000,"$",122,87,3,1,0,0,"La Florida De Ciudad Azteca","Ecatepec de Morelos","Estado De México","CE0GT4V002P8",NA,"Venta"
"9","CE0KA4V001PR","Alcatraz","Casa en Venta",990000,"$",180.34,122,3,2,0,0,"Jardines De Morelos","Ecatepec de Morelos","Estado De México","CE0KA4V001PR",NA,"Venta"
"10","CE0GT4V002PN","Culiacan","Casa en Venta",1492400,"$",271,120,4,2,0,0,"Jardines De Morelos","Ecatepec de Morelos","Estado De México","CE0GT4V002PN",NA,"Venta"
"11","AL0PZ4V0000M","nd","Casa en Venta",330000,"$",58,NA,2,1,0,0,"Los Héroes","Ixtapaluca","Estado De México","AL0PZ4V0000M",NA,"Venta"
"12","CE0GT4V002MD","Privada Doblones Viv. 28 Villas del Real","Casa en Venta",4e+05,"$",70,58,2,1,0,0,"Sierra Hermosa","Tecamac","Estado De México","CE0GT4V002MD",NA,"Venta"
"13","CE0GT4V002KI","Lugano Casa 33 en Villas del Real","Casa en Venta",449000,"$",69,29,3,2,0,0,"Sierra Hermosa","Tecamac","Estado De México","CE0GT4V002KI",NA,"Venta"
"14","CE0GT4V002KJ","Laurel Casa 16 en Villas del Real","Casa en Venta",449000,"$",69,29,3,2,0,0,"Sierra Hermosa","Tecamac","Estado De México","CE0GT4V002KJ",NA,"Venta"
"15","CE0KO4V000GX","Valle de Corso","Casa en Venta",450000,"$",66,73,3,1,0,0,"San Buenaventura","Ixtapaluca","Estado De México","CE0KO4V000GX",NA,"Venta"
"16","CE01B4V002VY","bosques de ecatepec","Casa en Venta",345000,"$",50,36,2,1,0,0,"Villas De Ecatepec","Ecatepec de Morelos","Estado De México","CE01B4V002VY",NA,"Venta"
"17","CE0GT4V002ML","Priv. Baleares Casa. 28 en Villas del Real","Casa en Venta",360000,"$",51,60,2,1,0,0,"Sierra Hermosa","Tecamac","Estado De México","CE0GT4V002ML",NA,"Venta"
"18","CE01V4V002XP","Fuente de Nayadas","Casa en Venta",1060000,"$",148,122,3,2.5,0,0,"Jardines De Morelos","Ecatepec de Morelos","Estado De México","CE01V4V002XP",NA,"Venta"
"19","CE0J34V004MH","Paseo Felix Candela Mz.16 Lt.8","Casa en Venta",460000,"$",62,60,2,1.5,0,0,"San Mateo","Cuautitlan","Estado De México","CE0J34V004MH",NA,"Venta"
"20","CE0KO4V000JU","Valle de Corso","Casa en Venta",950000,"$",126,72,3,2,0,0,"San Buenaventura","Ixtapaluca","Estado De México","CE0KO4V000JU",NA,"Venta"
"21","CE0KA4V001CK","Huasteca 205","Casa en Venta",2100000,"$",277,156,1,3,0,0,"Industrial","Gustavo A Madero","Distrito Federal","CE0KA4V001CK",NA,"Venta"
"22","CE0HL4V000O1","Maiz","Casa en Venta",1700000,"$",224,120,3,2.5,0,0,"Santiago Tepalcatlalpan","Xochimilco","Distrito Federal","CE0HL4V000O1",NA,"Venta"
"23","CE0GT4V000VT","Cerrada de Faisanes Mz.11","Casa en Venta",1e+06,"$",130,124,5,2,0,0,"San Buenaventura","Ixtapaluca","Estado De México","CE0GT4V000VT",NA,"Venta"
"24","CE03E4V000B6","CANILES","Casa en Venta",1600000,"$",205,151,4,1,0,0,"Cerro De La Estrella","Iztapalapa","Distrito Federal","CE03E4V000B6",NA,"Venta"
"25","CE0KC4V001AI","Avenida Río Lerma Sur","Casa en Venta",780000,"$",97,81,3,2,0,0,"Bellavista","Cuautitlan Izcalli","Estado De México","CE0KC4V001AI",NA,"Venta"
"26","CO0HK4V000C2","CAPORALES","Casa en Venta",3e+06,"$",372,250,4,3,0,0,"Granjas Esmeralda","Iztapalapa","Distrito Federal","CO0HK4V000C2",NA,"Venta"
"27","CE01V4V002LX","Manzana 23","Casa en Venta",795000,"$",98,102,4,3,0,0,"Lomas De San Francisco Tepojaco","Cuautitlan Izcalli","Estado De México","CE01V4V002LX",NA,"Venta"
"28","CE0GT4V002PO","Durango No.33","Casa en Venta",1300000,"$",160,191,5,3,0,0,"El Chamizal","Ecatepec de Morelos","Estado De México","CE0GT4V002PO",NA,"Venta"
"29","RE0AT4V001R6","San Buenaventura","Casa en Venta",550000,"$",67,110,3,1,0,0,"San Buenaventura","Ixtapaluca","Estado De México","RE0AT4V001R6",NA,"Venta"
"30","CE0GT4V002PW","Sur 26 No.238 en Plazas de Sta. Clara","Casa en Venta",1163000,"$",140,120,3,2,0,0,"Santa Clara Coatitla","Ecatepec de Morelos","Estado De México","CE0GT4V002PW",NA,"Venta"
"31","CE0KK4V000GA","Calzada de los Misterios","Casa en Venta",3e+06,"$",358,175,7,4,0,0,"Industrial","Gustavo A Madero","Distrito Federal","CE0KK4V000GA",NA,"Venta"
"32","CE00Z4V000LM","Av. Sur 12","Casa en Venta",5950000,"$",703,551,4,2,0,0,"Agrícola Oriental","Iztacalco","Distrito Federal","CE00Z4V000LM",NA,"Venta"
"33","CE03H4V004LU","Avenida Gran Plaza","Casa en Venta",1980000,"$",230,135,4,3.5,0,0,"Lomas Boulevares","Tlalnepantla","Estado De México","CE03H4V004LU",NA,"Venta"
"34","CE01V4V002LT","Privada de Rio Serpis","Casa en Venta",490000,"$",56,40,2,1,0,0,"Valle San Pedro","Tecamac","Estado De México","CE01V4V002LT",NA,"Venta"
"35","CE0GT4V002EO","Condominio Yucatan Casa 9A","Casa en Venta",626000,"$",70,72,3,1,0,0,"Las Americas","Ecatepec de Morelos","Estado De México","CE0GT4V002EO",NA,"Venta"
"36","CE0J34V004FM","1º Cda Saturno","Casa en Venta",970000,"$",108,120,3,2,0,0,"Ensueños","Cuautitlan Izcalli","Estado De México","CE0J34V004FM",NA,"Venta"
"37","CE0GT4V002EF","Bosque de Pantera Fracc. Hacienda del Bosque","Casa en Venta",550000,"$",60.41,60.41,2,1.5,0,0,"Tecámac De Felipe Villanueva Centro","Tecamac","Estado De México","CE0GT4V002EF",NA,"Venta"
"38","CE0GT4V002MN","Azucena","Casa en Venta",850000,"$",93,123,2,2,0,0,"Jardines De Morelos","Ecatepec de Morelos","Estado De México","CE0GT4V002MN",NA,"Venta"
"39","CE0KA4V001C8","2da Sección","Casa en Venta",1600000,"$",174,90,2,2,0,0,"Ermita Zaragoza","Iztapalapa","Distrito Federal","CE0KA4V001C8",NA,"Venta"
"40","CE0GT4V002KM","Priv. Monza Secc. 4 en Villas del Real","Casa en Venta",1003000,"$",108,90,3,2.5,0,0,"Sierra Hermosa","Tecamac","Estado De México","CE0GT4V002KM",NA,"Venta"
