"","X","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","url_good","mode"
"1",1,"T-DF0128-0197"," ARTEMIO DEL VALLE ARIZPE, NAUCALPAN DE JUAREZ","Casa en Venta",15600000,"MXN",254,254,4,4,19.50564,-99.24892,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en fraccionamiento Club Cuicacalli, estricta vigilancia 24 hrs, cuenta con 4 recamaras, 4 baños y medio, 5 lugares de estacionamiento con portón eléctrico, jardín amplio, cocina integral, sala comedor y espacio de cantina, en muy buen estado, además de tener el fresco y zona azul a unos metros.","https://tecnocasa.mx/detalle-inmueble.php?v=36722","Venta"
"2",2,"T-DF0049-0396"," LUIS CABRERA, Naucalpan de Juárez","Casa en Venta",15500000,"MXN",457,457,3,3,19.50738,-99.24061,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en venta con excelente distribución, cuenta con 3 lugares de estacionamiento, portón eléctrico, sala comedor y cocina con muy buen tamaño, acabados de lujo en toda la casa, jardín trasero amplio y un espacio para gimnasio, en planta alta cuenta con 3 recamaras todas cuentan con baño completo y vestidor, también un cuarto de lavado y cuarto de servicio totalmente funcionales.","https://tecnocasa.mx/detalle-inmueble.php?v=39220","Venta"
"3",3,"T-DF0018-0138"," GUTIERREZ  ESTRADA, NAUCALPAN DE JUAREZ","Casa en Venta",12500000,"MXN",487,487,4,6,19.51778,-99.25856,"LOMAS VERDES 4A SECCION","NAUCALPAN DE JUAREZ","EDOMEX","6TA SECCIÓN DE LOMAS VERDES

EXCELENTE DISTRIBUCION E ILUMINACIÓN

4 RECAMARAS CON VESTIDOR Y BAÑO COMPLETO, SALA/COMEDOR CON SALIDA A LA TERRAZA

COCINA EQUIPADA CON DESAYUNADOR, ESTUDIO, SALA DE TV, SALON DE JUEGOS, JARDIN GRANDE Y CON VISTAS MARAVILLOSAS,SEGURIDAD 24 HRS SALIDA A MAS DE 3 VIALIDADES","https://tecnocasa.mx/detalle-inmueble.php?v=38292","Venta"
"4",4,"T-DF0128-0184"," ARBOLITOS, NAUCALPAN DE JUAREZ","EDIFICIO",12400000,"MXN",749,749,NA,NA,19.5174535884741,-99.2320380440582,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Edificio en zona comercial 574 m2 TERRENO y 749 M2 de Construcción. construido en 3 niveles de oficinas 305M2 2 baños, archivo/bodega. Nave industrial 444M2 anden de carga, tapanco, 4 baños, techo altura 4.55, cisterna de 9.3 m3 y trifásica. TODO DE CONCRETO. ","https://tecnocasa.mx/detalle-inmueble.php?v=35144","Venta"
"5",5,"T-DF0049-0404"," JOSE ROA BARCENAS, NAUCALPAN DE JUAREZ","Casa en Venta",12000000,"MXN",400,400,4,3,19.50375,-99.24191,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa de 4 recamaras con closet, sala, comedor, cocina equipada, 3 y 1/2 baños, estudio, sala de T.V. cantina, cuarto de servicio, jardín, 3 estacionamientos","https://tecnocasa.mx/detalle-inmueble.php?v=41544","Venta"
"6",6,"T-DF0128-0231"," ACUEDUCTO ZEMPOALA, NAUCALPAN DE JUAREZ","Casa en Venta",11300000,"MXN",250,250,3,4,19.4743,-99.26803,"CUMBRES DE SAN MATEO","NAUCALPAN DE JUAREZ","EDOMEX",NA,"https://tecnocasa.mx/detalle-inmueble.php?v=41952","Venta"
"7",7,"T-DF0128-0227"," BLVRD VALLE DORADO, TLALNEPANTLA DE BAZ","EDIFICIO",11000000,"MXN",800,800,NA,NA,19.5534584289747,-99.2116457292205,"VIVEROS DE LA LOMA","TLALNEPANTLA DE BAZ","EDOMEX","Edificio de 800m2 sobre avenida principal, con esquina a Jinetes remodelado, a 1 minuto de Periferico con 4 departamentos de 2 recamaras cada uno, espacio en ultimo piso para oficinas con terraza, bodega, y local a pie de calle independiente a acceso principal.","https://tecnocasa.mx/detalle-inmueble.php?v=41397","Venta"
"8",8,"T-DF0017-0138"," EZEQUIEL A. CHAVEZ, NAUCALPAN DE JUAREZ","Casa en Venta",10400000,"MXN",330,330,3,2,19.519,-99.23744,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en Venta en Cuidad Satélite, Circuito Educadores. La casa cuenta con sala-comedor, cocina integral con desayunador, una segunda sala con chimenea, 3 recamaras, 2 baños y medio, sala de tv,  cuarto de lavado, cuarto de servicio con baño completo, jardín trasero, 2 lugares de estacionamientos y cisterna. 

Cercano a avenidas principales, escuelas y centros comerciales como Mundo E y Plaza Satélite.","https://tecnocasa.mx/detalle-inmueble.php?v=40999","Venta"
"9",9,"T-DF0128-0222"," EMILIO RABASA, NAUCALPAN DE JUAREZ","Casa en Venta",10399000,"MXN",328,328,3,3,19.51057,-99.24528,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en Ciudad Satélite distribuida en tres niveles, con 400m2 de terreno y 328m2 de construcción, jardín frontal de 100m2, patio trasero, 3 recamaras con baño propio y la principal y secundaria con jacuzzi, chimenea, terraza para roofgarden y garaje para 2 coches ","https://tecnocasa.mx/detalle-inmueble.php?v=40193","Venta"
"10",10,"T-DF0055-0063"," JOAQUIN GARCIA ICAZBALCETA, NAUCALPAN DE JUAREZ","Casa en Venta",9900000,"MXN",510,510,4,2,19.50964,-99.22612,"CIUDAD SATELITE","NAUCALPAN DE JUAREZ","EDOMEX","Casa en calle privada en Ciudad Satélite, lista para habitar. Cuenta con estancia, sala, comedor de buen tamaño con iluminación natural, cocina amplia con espacio para ante comedor, 4 habitaciones, salón de usos múltiples, baño completo con sauna y 3 lugares de estacionamiento.","https://tecnocasa.mx/detalle-inmueble.php?v=41890","Venta"
