X,Y,X.1,X,id_offer,adress,type,price,currency,surface_grnd,surface_good,nb_room,nb_bathroom,colonia,municipio,estado,desc_good,detailedListings.i.,mode,test_sit
-99.1334658,19.5143999,1,1,1416746976,"Constitución De 1810 271, La Laguna Ticoman, Ciudad De México, Cdmx, México, Santa María Ticoman, Gustavo A. Madero, Distrito Federal",Bodega en Venta,6750000,$,497,234,,,SANTA MARIA TICOMAN,GUSTAVO A MADERO,Distrito Federal,,https://inmueble.mercadolibre.com.mx/MLM-1416746976-bodega-con-excelente-ubicacion-_JM#position=1&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1315842,19.5146095,2,2,1748939820,"Patria 333, La Laguna Ticoman, 07340 Ciudad De México, Cdmx, México, La Laguna Ticoman, Gustavo A. Madero, Distrito Federal",Bodega en Venta,2900595,$,486,676,,,LA LAGUNA TICOMAN,GUSTAVO A MADERO,Distrito Federal,,https://inmueble.mercadolibre.com.mx/MLM-1748939820-almacen-en-venta-laguna-ticoman-gustavo-a-madero-cdmx-cr-jabm19-_JM#position=2&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1265487,19.4682431,3,3,1744773692,"Dvorak, Vallejo, Gustavo A. Madero, Distrito Federal",Bodega en Venta,13050000,$,764,826,,,VALLEJO,GUSTAVO A MADERO,Distrito Federal,,https://inmueble.mercadolibre.com.mx/MLM-1744773692-venta-bodega-en-vallejo-gustavo-a-madero-mhs-_JM#position=3&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1359301,19.5290566,4,4,1754543084,"La Pastora, Gustavo A. Madero, Distrito Federal",Bodega en Venta,84500000,$,6266,4232,,,LA PASTORA,GUSTAVO A MADERO,Distrito Federal,"En venta bodega con oficinas, en la zona norte de la cd. De Méx. Con una barda propia con altura de 7.20 mts con columnas y trabes de concreto, cuenta con un área de terreno de 6266 m2, en los cuales hay, un área de oficinas, ( 12 oficinas independientes con baño para hombre y mujeres, áreas de telemarketing para 8 operadores ) área abierta, 3 bodegas con techos de lámina galvanizada, acanalada y bajas de agua pluvial, con una altura de 8.5 mts , con buena ventilación, patio de maniobras, con entrada para trailers, cuenta con subestación de 125 KVA, luz trifásica, Cuenta con área de comedor para empleados con baños, regaderas y lockersCuenta con caseta de vigilancia o casa para velador",https://inmueble.mercadolibre.com.mx/MLM-1754543084-bodega-en-venta-la-pastora-gustavo-a-madero-_JM#position=4&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1270541,19.4648712,5,5,1644798286,"Pedro Luis Ogazon 105, Vallejo, Gustavo A Madero, Ciudad De México, Vallejo, Gustavo A. Madero, Distrito Federal",Bodega en Venta,15000000,$,305,1065,,,VALLEJO,GUSTAVO A MADERO,Distrito Federal,"Edificio de 3 Niveles    Planta Baja: Salón de fiestas 4 Medios baños para damas  Área para cocina 1 Bodega   1 er Nivel: Auditorio Cabina de audio4 Medios baños para caballeros   3er Nivel:Espacio para oficinas 1 Baño completo 2 Terrazas Amplias El Edificio cuenta con: Extractor de olores, Cámaras de vigilancia, Cisterna de 10,000 L. 3 Tinacos de 1,100 cada uno. Puede ser usado, para salón de eventos, gimnasio, call center, oficinas para corporativo, almacén, centro religioso, etc.Cerca a Metro Misterios, Metrobús L7 Estación Misterios, Torre Médica Clínica Norte, Bancos, Restaurantes, Mercado Valle Gómez, etc.",https://inmueble.mercadolibre.com.mx/MLM-1644798286-edificio-comercial-en-vallejo-_JM#position=5&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.102019,19.4664296,6,6,1445402418,"Norte 80-a, Gertrudis Sánchez Ii Sección, Ciudad De México, Cdmx, México, Gertrudis Sánchez 3a Sección, Gustavo A. Madero, Distrito Federal",Bodega en Venta,1480186,$,260,150,,2,GERTRUDIS SANCHEZ 3A SECCION,GUSTAVO A MADERO,Distrito Federal,"Somos una recuperadora inmobiliaria que administra, recupera y comercializa cartera vencida, proveniente de instituciones financieras, ofrecemos inversiones inmobiliarias con altos rendimientos.Solo pago de contado.No se aceptan créditos.No son de entrega inmediata",https://inmueble.mercadolibre.com.mx/MLM-1445402418-aprende-a-invertir-remate-bancario-en-gustavo-a-madero-_JM#position=6&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1331631,19.4673105,7,7,1445339455,"Vallejo, Gustavo A. Madero, Distrito Federal",Bodega en Venta,8300000,$,310,506,,,VALLEJO,GUSTAVO A MADERO,Distrito Federal,"Venta de Bodega industrial con oficinas en la Colonia Industrial Vallejo, CDMX, Delegación Gustavo A. Madero, con licencia de uso mixto HC/3/30/M. Cuenta con una superficie total de 310.54 m2 de terreno y 506 m2 de construcción. La propiedad se distribuye de la siguiente forma:Planta Baja (PB): Cuenta con 115 m2 que se pueden emplear como área de trabajo, con techo a doble altura, 91 m2 designados para áreas de trabajo en los extremos, 35.43 m2 de garaje para un cupo de 3 autos, 21.20 m2 de bodega alambrada, recepción con medio baño y escalera con 48.04 m2, superficie total PB 310.54 m2, para actividades tales como: Herrería, ensambles, taller, almacén, etc. Con sistema trifásico de corriente eléctrica.Planta Alta (PA): Con 107 M2 destinados para oficinas, 34.30 m2 dedicados para baños con regaderas, 15.60 m2 divididos en 2 medios baños más un baño completo, 21.20 m2 asignados para la zona de comedor más 17.86 m2 libres. La superficie total de PA es de 196 m2. Excelente ubicación: En La esquina de Wagner y Schumann, cuenta con tres accesos: Dos por la calle de Wagner, con un portón de 3 hojas (7.26 metros lineales), y el tercero por Schumann. A 2 cuadras de Robles Domínguez, 3 cuadras de Calzada de los Misterios, 3 cuadras del Circuito Interior y a 5 cuadras de la Calzada 100 metros.¡¡Atención Inversionistas!! Un factor relevante para considerar es el hecho que actualmente el inmueble está siendo arrendado.",https://inmueble.mercadolibre.com.mx/MLM-1445339455-venta-bodega-comercial-schumann-col-vallejo-gustavo-a-_JM#position=7&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1270026,19.4684274,11,11,1443666137,"Dvorak, Vallejo, Gustavo A. Madero, Distrito Federal",Bodega en Venta,8550000,$,360,603,,,VALLEJO,GUSTAVO A MADERO,Distrito Federal,"MHSBodega en venta en Vallejo, terreno 360 mtrs, construcción 603 mtrs a unos pasos de continuación Avenida Cuitláhuac ( Av. Ing Alfredo Robles Dominguez ) a 2 calles de Calzada de los Misterios.Inmueble compuesto por 1 bodega, áreas de oficinas y servicios. 10 mtrs de frente y 36 mtrs de largo. Uso de suelo habitacional y comercial HC/3/30/M.",https://inmueble.mercadolibre.com.mx/MLM-1443666137-venta-bodega-en-vallejo-gustavo-a-madero-mhs-_JM#position=11&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1267,19.4681204,12,12,1721344510,"Dvorak, Vallejo, Gustavo A. Madero, Distrito Federal",Bodega en Venta,13050000,$,764,826,,,VALLEJO,GUSTAVO A MADERO,Distrito Federal,"MHSBodega en venta en Vallejo, terreno 764 mtrs, construcción 826 mtrs a unos pasos de continuación Avenida Cuitláhuac ( Av. Ing Alfredo Robles Dominguez ) a 2 calles de Calzada de los Misterios. Inmueble compuesto por 2 bodegas, áreas de oficinas y servicios. 21 mtrs de frente y 36 mtrs de largo. Uso de suelo habitacional y comercial HC/3/30/M.",https://inmueble.mercadolibre.com.mx/MLM-1721344510-venta-bodega-en-vallejo-gustavo-a-madero-mhs-_JM#position=12&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1104889,19.4816996,13,13,1497379530,"Cerrada Francisco Moreno, Villa Gustavo A. Madero, Ciudad De México, Cdmx, México, Villa Gustavo A. Madero, Gustavo A. Madero, Distrito Federal",Bodega en Venta,66000000,$,5292,1500,,,GUSTAVO A MADERO,GUSTAVO A MADERO,Distrito Federal,"Amplio terreno de 5,292 m2 con aproximadamente 1,500 m2 de bodegas industriales o comerciales.Muy bien ubicadas, cerca de La Basílica de Guadalupe, a unos pasos del Metro y Metrobus. Cuenta con más de 50 metros de frente, lo que facilita el acceso a patios de maniobras.",https://inmueble.mercadolibre.com.mx/MLM-1497379530-gustavo-a-madero-bodega-industrial-en-venta-_JM#position=13&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1140919,19.5002838,14,14,1550639337,"Av. Acueducto 1 - 300, Santa Isabel Tola, Ciudad De México, Cdmx, México, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",Bodega en Venta,26900000,$,335,952,,,SANTA ISABEL TOLA,GUSTAVO A MADERO,Distrito Federal,,https://inmueble.mercadolibre.com.mx/MLM-1550639337-bodega-en-venta-colonia-santa-isabel-tola-odb-0123-_JM#position=14&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1650808,19.4958851,15,15,1689403679,"Abel, 7 de Noviembre, Gustavo A. Madero, Distrito Federal",Bodega en Venta,83500000,$,6690,8167,,,7 DE NOVIEMBRE,GUSTAVO A MADERO,Distrito Federal,"Bodega Comercial super Ubicada en Gustavo a Madero, Desarrolladores Atencion.Esta Ubicada estrategicamente entre Calzada de Guadalupe, Circuito Interior y Ferrocarril Hidalgo. ademas muy cerca de centros comerciales y vías de comunicación ideal para su transporte, hacia el Norte, hacia al Aeropuerto, al centro de la Ciudad.Desarrolladores! Ideal para un desarrollo, tiene uso de suelo habitacional mixto, se permiten 3 niveles, 20% de área libre, densidad M, superficie máxima de construcción 15,818 m2 y 132 ,viviendas. Agenda una cita para conocerla!!!!",https://inmueble.mercadolibre.com.mx/MLM-1689403679-bodega-comercial-guadalupe-tepeyac-gustavo-a-madero-_JM#position=15&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,0
-99.1262824,19.4657751,16,16,1444419891,"Calzada De Los Misterios, Vallejo, Gustavo A. Madero, Distrito Federal",Bodega en Venta,8055000,$,374,560,,,VALLEJO,GUSTAVO A MADERO,Distrito Federal,,https://inmueble.mercadolibre.com.mx/MLM-1444419891-venta-bodega-en-vallejo-gustavo-a-madero-mhs-_JM#position=16&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1102,19.4815,17,17,1490171055,"Francisco Moreno, Villa Gustavo A. Madero, Gustavo A. Madero, Distrito Federal",Bodega en Venta,66000000,$,5297,5297,,,GUSTAVO A MADERO,GUSTAVO A MADERO,Distrito Federal,"EXCELENTE BODEGA EN VENTA DE 5,297 M2 DE TERRENO, SON 2500 M2 DE BODEGA MÁS 400 MTS DE OFICINA, MUY CERCA DE LA BASÍLICA DE GUADALUPE Y MUY CERCA DE LA SALIDA A PACHUCA, CUENTA CON PATIO GRANDE PARA MANIOBRAS Y EXCELENTES ACCESOS. (IBV-3926) (2)",https://inmueble.mercadolibre.com.mx/MLM-1490171055-bodega-venta-gustavo-a-madero-_JM#position=17&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.2051355,19.4901781,18,18,1689178718,"La Pastora, Gustavo A. Madero, Distrito Federal",Bodega en Venta,84500000,$,6266,4200,,,LA PASTORA,GUSTAVO A MADERO,Distrito Federal,"Esta propiedad esta constituida principalmente por 3 Bodegas, con una superficie total de 3,849 m2,  Área libre 2.034 m2, Totalmente bardeado, Alturas de 8.5 aprox. , columnas y trabes de concreto. Techos de lamina galvanizada y traslucida, Estacionamiento para 20 autos,o mas, amplio patio de maniobras, Comedor y baños para personal caseta de vigilancia. Portón eléctrico, caseta de vigilancia,   Dos grupos de oficinas con un total de 383 m2, con paredes de ladrillo aplanado ,techos de concreto, doce oficinas independientes, baños de hombres y mujeres, área de marketing para 8 operadores. Servicios básicos de luz (trifasica) y agua (con cisterna).Empresa Inmobiliaria con más de 30 años de experiencia enfocada principalmente en el poniente de la Ciudad de México.",https://inmueble.mercadolibre.com.mx/MLM-1689178718-amplia-bodega-en-venta-en-la-gustavo-a-madero-_JM#position=18&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,0
-99.1068708,19.4912575,19,19,866604280,"Las Artes, Estanzuela, Gustavo A. Madero, Distrito Federal",Bodega en Venta,5300000,$,432,432,,,ESTANZUELA,GUSTAVO A MADERO,Distrito Federal,"Se Vende bodega en la colonia Estanzuela, 432 mts2 , techos de albastro .Funcionaba como editorial, área de máquinas, área de almacenaje, 4 oficinas, luz trifasica",https://inmueble.mercadolibre.com.mx/MLM-866604280-bodega-con-uso-de-suelo-_JM#position=19&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.0799046,19.4812913,20,20,1440338834,"Camino Del Esfuerzo, Campestre Aragón, Gustavo A. Madero, Distrito Federal",Bodega en Venta,9499000,$,661,100,,,CAMPESTRE ARAGON,GUSTAVO A MADERO,Distrito Federal,"Se vende como bodega o terreno, con uso de suelo comercial en PB y habitacional de 3 niveles y 20% de área libre . Giro para comercio amplio, el uso industrial esta limitado. Cuenta con 661 m2 de terreno y 100 m2 de construcción. Terreno de forma irregular con frente a la calle de Camino Del Esfuerzo 10 metros y Camino del Triunfo 20 metros. Altura en ambos frentes de 4.8 metros. Area para oficinas y baño. Vialidades cercanas: Av. Francisco Morazán, Av. Loreto Fabela, Camino viejo a San Juan de Aragón, Gran Canal y Eduardo Molina. Area con todos los servicios: Plaza Oriente, Puerta Aragón, Deportivo los Galeana a 5 minutos. Visitas previa cita. Transporte público como metrobus y estaciones de metro cercanas. Visitas previa cita.",https://inmueble.mercadolibre.com.mx/MLM-1440338834-bodega-o-terreno-en-venta-uso-comercial-campestre-aragon-_JM#position=20&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1165903,19.4808854,21,21,1730124980,"Villa Gustavo A. Madero, Gustavo A. Madero, Distrito Federal",Bodega en Venta,69000000,$,5290,5290,,,GUSTAVO A MADERO,GUSTAVO A MADERO,Distrito Federal,"Venta de Bodega con una superficie de 5290 metros cuadrados.Con 80 metros aproximadamente de frente.Cuenta con 5 naves de 400 metros cada una.Cada una de las naves cuenta con 8 metros de altura, patio para maniobrar trailer, camión.Muy buena ubicación muy cerca de avenidas principales calle muy tranquila y ancha para maniobra.",https://inmueble.mercadolibre.com.mx/MLM-1730124980-venta-de-bodega-villa-gustavo-a-madero-_JM#position=21&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1193297,19.4680088,22,22,1644810762,"Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",Bodega en Venta,82450000,$,7000,8200,,,GUADALUPE TEPEYAC,GUSTAVO A MADERO,Distrito Federal,"Estas bodegas están construidas en un terreno de 7,000 m2 y tienen 8,200 m2 de construcción . Son 15. Entre Calzada de Guadalupe, Circuito Interior y Ferrocarril Hidalgo. Cerca de centros comerciales y vías de comunicación. Ideal para un desarrollo, tiene uso de suelo habitacional mixto, se permiten 3 niveles, 20% de área libre, densidad M, superficie máxima de construcción 15,818 m2 y 132 ,viviendas. Cerca de centros comerciales y vías de comunicación. Actualmente hay 15 bodegas rentadas.Llamadas o Whatsapps bienvenidos al 552300-9765",https://inmueble.mercadolibre.com.mx/MLM-1644810762-bodegas-en-la-villa-_JM#position=22&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
