Iden	CVEGEO	CVE_ENT	CVE_MUN	NOMGEO	SEQUENCE	PREFIXE/SEQUENCE
09002	09002	09	002	AZCAPOTZALCO	01	ZMVM_MUN_202001
09003	09003	09	003	COYOACÃ¡N	02	ZMVM_MUN_202002
09004	09004	09	004	CUAJIMALPA DE MORELOS	03	ZMVM_MUN_202003
09005	09005	09	005	GUSTAVO A. MADERO	04	ZMVM_MUN_202004
09006	09006	09	006	IZTACALCO	05	ZMVM_MUN_202005
09007	09007	09	007	IZTAPALAPA	06	ZMVM_MUN_202006
09008	09008	09	008	LA MAGDALENA CONTRERAS	07	ZMVM_MUN_202007
09009	09009	09	009	MILPA ALTA	08	ZMVM_MUN_202008
09010	09010	09	010	ÃLVARO OBREGÃ³N	09	ZMVM_MUN_202009
09011	09011	09	011	TLÃ¡HUAC	10	ZMVM_MUN_202010
09012	09012	09	012	TLALPAN	11	ZMVM_MUN_202011
09013	09013	09	013	XOCHIMILCO	12	ZMVM_MUN_202012
09014	09014	09	014	BENITO JUÃ¡REZ	13	ZMVM_MUN_202013
09015	09015	09	015	CUAUHTÃ©MOC	14	ZMVM_MUN_202014
09016	09016	09	016	MIGUEL HIDALGO	15	ZMVM_MUN_202015
09017	09017	09	017	VENUSTIANO CARRANZA	16	ZMVM_MUN_202016
13069	13069	13	069	TIZAYUCA	17	ZMVM_MUN_202017
15002	15002	15	002	ACOLMAN	18	ZMVM_MUN_202018
15009	15009	15	009	AMECAMECA	19	ZMVM_MUN_202019
15010	15010	15	010	APAXCO	20	ZMVM_MUN_202020
15011	15011	15	011	ATENCO	21	ZMVM_MUN_202021
15013	15013	15	013	ATIZAPÃ¡N DE ZARAGOZA	22	ZMVM_MUN_202022
15015	15015	15	015	ATLAUTLA	23	ZMVM_MUN_202023
15016	15016	15	016	AXAPUSCO	24	ZMVM_MUN_202024
15017	15017	15	017	AYAPANGO	25	ZMVM_MUN_202025
15020	15020	15	020	COACALCO DE BERRIOZÃ¡BAL	26	ZMVM_MUN_202026
15022	15022	15	022	COCOTITLÃ¡N	27	ZMVM_MUN_202027
15023	15023	15	023	COYOTEPEC	28	ZMVM_MUN_202028
15024	15024	15	024	CUAUTITLÃ¡N	29	ZMVM_MUN_202029
15025	15025	15	025	CHALCO	30	ZMVM_MUN_202030
15028	15028	15	028	CHIAUTLA	31	ZMVM_MUN_202031
15029	15029	15	029	CHICOLOAPAN	32	ZMVM_MUN_202032
15030	15030	15	030	CHICONCUAC	33	ZMVM_MUN_202033
15031	15031	15	031	CHIMALHUACÃ¡N	34	ZMVM_MUN_202034
15033	15033	15	033	ECATEPEC DE MORELOS	35	ZMVM_MUN_202035
15034	15034	15	034	ECATZINGO	36	ZMVM_MUN_202036
15035	15035	15	035	HUEHUETOCA	37	ZMVM_MUN_202037
15036	15036	15	036	HUEYPOXTLA	38	ZMVM_MUN_202038
15037	15037	15	037	HUIXQUILUCAN	39	ZMVM_MUN_202039
15038	15038	15	038	ISIDRO FABELA	40	ZMVM_MUN_202040
15039	15039	15	039	IXTAPALUCA	41	ZMVM_MUN_202041
15044	15044	15	044	JALTENCO	42	ZMVM_MUN_202042
15046	15046	15	046	JILOTZINGO	43	ZMVM_MUN_202043
15050	15050	15	050	JUCHITEPEC	44	ZMVM_MUN_202044
15069	15069	15	069	PAPALOTLA	45	ZMVM_MUN_202045
15070	15070	15	070	LA PAZ	46	ZMVM_MUN_202046
15075	15075	15	075	SAN MARTÃ­N DE LAS PIRÃ¡MIDES	47	ZMVM_MUN_202047
15053	15053	15	053	MELCHOR OCAMPO	48	ZMVM_MUN_202048
15091	15091	15	091	TEOLOYUCAN	49	ZMVM_MUN_202049
15092	15092	15	092	TEOTIHUACÃ¡N	50	ZMVM_MUN_202050
15093	15093	15	093	TEPETLAOXTOC	51	ZMVM_MUN_202051
15094	15094	15	094	TEPETLIXPA	52	ZMVM_MUN_202052
15095	15095	15	095	TEPOTZOTLÃ¡N	53	ZMVM_MUN_202053
15096	15096	15	096	TEQUIXQUIAC	54	ZMVM_MUN_202054
15057	15057	15	057	NAUCALPAN DE JUÃ¡REZ	55	ZMVM_MUN_202055
15058	15058	15	058	NEZAHUALCÃ³YOTL	56	ZMVM_MUN_202056
