Iden	NbPolygones
09002	1
09003	1
09004	1
09005	1
09006	1
09007	1
09008	1
09009	1
09010	1
09011	1
09012	1
09013	1
09014	1
09015	1
09016	1
09017	1
13069	1
15002	1
15009	1
15010	1
15011	1
15013	1
15015	1
15016	1
15017	1
15020	1
15022	1
15023	1
15024	1
15025	1
15028	1
15029	1
15030	1
15031	1
15033	1
15034	1
15035	1
15036	1
15037	1
15038	1
15039	1
15044	2
15046	1
15050	1
15053	1
15057	1
15058	1
15059	1
15060	1
15061	1
15065	2
15068	1
15069	1
15070	1
15075	2
15081	1
15083	1
15084	1
15089	1
15091	1
15092	1
15093	1
15094	1
15095	1
15096	1
15099	1
15100	1
15103	1
15104	2
15108	1
15109	2
15112	1
15120	1
15121	1
15122	1
15125	1
