"","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","detailedListings.i."
"1",65918168,"Juventino Rosas,  7 de Noviembre, Gustavo A. Madero","Bodega comercial",31000000,"MN",1069,1408,NA,NA,19.4589994,-99.1336561,"7 de Noviembre","Gustavo A. Madero","Ciudad de México","USO ACTUAL: Nave Industrial con oficinas y terreno que ocupa, con la siguiente distribución: - Acceso patio de maniobras con anden tipo 1- Nave con 12 metros de Arco autosustentable- Muros de Block y área de fabricaciónEn Tipo 2:- Oficinas en tres niveles 1er. Nivel: planta baja para almacén, 2o. y 3er. Nivel: Oficinas con 3 privados y área secretarial con subdivisiones de cristal templado y aluminio. Área de baños con sala de CCTV y cubo de escalera.- Al frente del predio en tipo 3 y 4 en dos cuerpos y dos niveles con recepción.- Casa vigilante- Almacén- Área para comedor y baños en tipo techumbre de lámina para taller y/o estacionamiento.USO DE SUELO: H / 3 / 30","https://www.inmuebles24.com/propiedades/nave-industrial-en-peralvillo-gustavo-a.-madero-cdmx-65918168.html"
"2",63196419,",  Constitución de La República, Gustavo A. Madero","Departamento",1890000,"MN",68,68,2,1,19.4837196,-99.0999669,"Constitución de La República","Gustavo A. Madero","Ciudad de México","DEPARTAMENTO NUEVODepartamento interior con magnífica iluminación y ventilación natural.Vista despejada hacia el Bosque de Aragón por las recámaras y a un corredor arbolado.Muy cerca de la Basílica de GuadalupeEstilo clásico, pisos de melamina, ventanas de aluminio con persianas verticales, closets de madera,cocina integral, área de lavado.Gas estacionario, cisterna y tinacos alimentados con sistema hidroneumático.CUENTA CON: 2 recámaras con closet, 1 baño y  medio, sala comedor y cocina integral con área de lavado1 cajón de estacionamiento independiente con puerta de acceso automatizado68.13 M2 habitableCERCANO A :Plazas comerciales, cines, cocinas y restaurantes, bancos, hospitalesVías de comunicación cercanas, Av. Ing. Eduardo Molina, Calzada San Juan de Aragón, circuitoInterior e insurgentes Nte2 prototipos . 3 DEPARTAMENTOS DISPONIBLES:$1,868,000.00$1,890,000.00$1,996,000.00 con 2 lugares de estacionamiento.El precio que se muestra en el anuncio es más impuestos y/o más costo de escrituración y demás gastos que se puedan generar respecto de hipotecas bancarias. Solicita mayor información. EasyBroker ID: EB-JG5659","https://www.inmuebles24.com/propiedades/departamento-en-venta-f.-c.-hidalgo-63196419.html"
"3",65145853,"JULIETA 56,  Guadalupe Tepeyac, Gustavo A. Madero","Edificio",10000000,"MN",221,669,NA,NA,19.4654007,-99.123112,"Guadalupe Tepeyac","Gustavo A. Madero","Ciudad de México","(ROJ) VENTA DE EDIFICIO COMPLETAMENTE PARA REMODELAR CON 9 DEPARTAMENTOS DE 2 HABITACIONES Y BAÑO COMPLETO. CON CUARTO DE SERVICIO Y ÁREA DE LAVADO EN LA AZOTEA. EL EDIFICIO TIENE DOS FRENTES IDEAL PARA INVERSIONISTAS","https://www.inmuebles24.com/propiedades/edificio-en-venta-en-guadalupe-tepeyac-para-remodelar-65145853.html"
"4",65958305,"congreso de la unión ,  Aragón InguarAn, Gustavo A. Madero","Casa uso de suelo",10800000,"MN",184,386,NA,6,19.4713242,-99.108932,"Aragón InguarAn","Gustavo A. Madero","Ciudad de México","Edificio con uso de suelo de usos mixto con 3 niveles, actualmente tiene dos departamentos. Y la planta baja puede ser de uso comercial. O bien se puede demoler y construir un hotel o nuevo complejo de departamentos.","https://www.inmuebles24.com/propiedades/edificio-en-venta-en-congreso-de-la-union-cdmx-65958305.html"
"5",65918280,"Othón de Mendizábal undefined,  La Patera Vallejo, Gustavo A. Madero","Departamento",1800000,"MN",67,67,3,1,19.5042496134,-99.1518892095,"La Patera Vallejo","Gustavo A. Madero","Ciudad de México","Departamento de 3 habitacionesCon 67 metros de construcciónSala-comedorÁrea de la cocina Área de lavado1 baño3er piso2 habitaciones con clósetPrecio a tratarEspacio para 1 auto","https://www.inmuebles24.com/propiedades/venta-departamento-en-la-patera-vallejo-gustavo-a-65918280.html"
"6",65918269,"100B undefined,  San José de La Escalera, Gustavo A. Madero","Edificio",6000000,"MN",210,449,NA,NA,19.5249271,-99.1612225,"San José de La Escalera","Gustavo A. Madero","Ciudad de México","Edificio productivo que actualmente consta de 4 departamentos independientes que generan una utilidad de $40,000 pesos al mes, No cuenta con regimen de condominio por lo cual se vende toda la propiedad. Cuenta con 4 Departamentos independientes con cocina cada uno11 recamaras en total6 baños en total5 espacio para autosTodo en orden para vender la propiedad completa.","https://www.inmuebles24.com/propiedades/excelente-edificio-productivo-generando-$40-000-al-mes-65918269.html"
"7",65918228,"Calzada de Guadalupe undefined,  7 de Noviembre, Gustavo A. Madero","Terreno / Lote",140000000,"MN",5516,NA,NA,NA,19.4635247,-99.1255953,"7 de Noviembre","Gustavo A. Madero","Ciudad de México","Excelente terreno para desarrolladores, gran polígono de tres lotes de 2,904, 1,974 y 638 m2, contiguos, en total 5,516 m2 , tiene autorizado construcción de 110 viviendas, también uso mixto, comercial e industrial, el frente a calzada de Guadalupe es de 50 m.Los 3 terrenos están en una sola escritura sin fusionar, todo en regla","https://www.inmuebles24.com/propiedades/terreno-para-desarrolladores-en-calzada-de-guadalupe-65918228.html"
"8",65918281,"Norte 100 undefined,  El Milagro, Gustavo A. Madero","Departamento",1120000,"MN",79,79,2,1,19.4853485,-99.085781,"El Milagro","Gustavo A. Madero","Ciudad de México","Departamento remodelado- 79 m2- 2 recámaras- Sala / Comedor- 1 baño completo- Área de lavado- 1 lugar de estacionamiento- Parques cercanos:Deportivo Parque Bicentenario, Parque los Patos, Parque Recreativo Justicia Social, Deportivo Hermanos Galeana, Zoologico San Juan de Aragón, Parque Nacional El Tepeyac- Supermercados cercanos:Mercado San Felipe de Jesús, Chedraui, Coppel, Elektra, Walmart- Transporte público:RTP, Metrobus, Camión, BusEscuelas primerias, secundarias, Centro Comercial Puerta Aragón, La Plaza Oriente-Piso 4- Áreas verdes","https://www.inmuebles24.com/propiedades/departamento-en-el-milagro-gustavo-a-madero-cdmx-65918281.html"
"9",65918167,"Rompeolas undefined,  Residencial Acueducto de Guadalupe, Gustavo A. Madero","Edificio",25000000,"MN",480,1252,NA,NA,19.5270133963,-99.1574204398,"Residencial Acueducto de Guadalupe","Gustavo A. Madero","Ciudad de México","Edificio con oficinas en calle amplia y de fácil acceso que cuenta con 480 mts2 de terreno y 1252 de construcción.Planta Baja y dos niveles.Ideal como centro de distribución o paquetería, cuenta con banda transportadora para 3 niveles y mucho espacio de almacenamiento.Cuenta:Caseta de vigilancia con bañoPlanta de emergencia de luz de DieselCalles pavimentadas, banquetas de concreto hidráulico y guarnición de concreto, red deagua potable con tomas domiciliarias conectada a la red municipal, red de drenaje deconcreto, red de electrificación, sobre postes de concreto, luminarias incandescentes dealumbrado público, red telefónica sobre postes de madera.","https://www.inmuebles24.com/propiedades/edificio-en-residencial-acueducto-de-guadalupe-65918167.html"
"10",64567438,"Av Instituto Politécnico Nacional 2100,  Lindavista Norte, Gustavo A. Madero","Departamento",20000000,"MN",200,740,16,8,19.4996931,-99.1315419,"Lindavista Norte","Gustavo A. Madero","Ciudad de México","VENTA DE EDIFICIO COMPLETO COMO INVERSIÓN  PARA REMODELAR O TIRAR, TIENE USO DE SUELO RESIDENCIAL Y COMERCIAL.SE ENCUENTRA EN UNA DE LAS AVENIDAS CON MAS TRÁFICO DE ESTUDIANTES Y MAESTROS DEL PAÍS  YA QUE ESTA UBICADO JUSTAMENTE FRENTE AL INSTITUTO POLITÉCNICO NACIONAL LO QUE LO CONVIERTE EN UNA EXCELENTE Y ÚNICA OPORTUNIDAD DE NEGOCIO.","https://www.inmuebles24.com/propiedades/departamento-en-venta-en-lindavista-16-recamaras-64567438.html"
